スポーツをして，強い体を作り上げる。,すぽーつをして，つよいからだをつくりあげる。,
この猫，すごく可愛いね。,このねこ，すごくかわいいね。,
このストラップ，秋葉原の店で買ったんだよ。,このすとらっぷ，あきはばらのみせでかったんだよ。,
このジェスチャーは喜びを意味します。,このじぇすちゃーはよろこびをいみします。,
いつもどんな曲歌うの？,いつもどんなきょくうたうの？,
二人はお互いの目を見ながら真剣に話している。,ふたりはおたがいのめをみながらしんけんにはなしている。,
あけましておめでとう。良い年にしましょう！,あけましておめでとう。よいとしにしましょう！,
この曲知ってるよ！,このきょくしってるよ！,
建物の中では静かにしなさい。,たてもののなかではしずかにしなさい。,
この写真にはたくさんの旧友が写っている。,このしゃしんにはたくさんのきゅうゆうがうつっている。,
私は毎朝散歩をします。,わたしはまいあささんぽをします。,
あなたは私の心をよく理解してくれる。,あなたはわたしのこころをよくりかいしてくれる。,
東京駅までの道を尋ねる。,とうきょうえきまでのみちをたずねる。,
冗談を聞いて笑う。,じょうだんをきいてわらう。,
彼は友達が多い。,かれはともだちがおおい。,
声すごく綺麗だね。,こえすごくきれいだね。,
美容院で髪を染める。,びよういんでかみをそめる。,
彼女は白いワンピースを欲しがっていた。,かのじょはしろいわんぴーすをほしがっていた。,
毎週何回くらい外食しますか？,まいしゅうなんかいくらいがいしょくしますか？,
こっちの鞄のほうがもっと綺麗！,こっちのかばんのほうがもっときれい！,
彼からの連絡は以前と比べてめっきり減ってしまった。,かれからのれんらくはいぜんとくらべてめっきりへってしまった。,
試験に合格するために努力を続ける。,しけんにごうかくするためにどりょくをつづける。,
そのお祭りには毎年およそ 1000 人が集まる。,そのおまつりにはまいとしおよそ1000にんがあつまる。,
ここから名古屋までは長い道のりになりそうだ。,ここからなごやまではながいみちのりになりそうだ。,
君は話を理解するのが早いね。,きみははなしをりかいするのがはやいね。,
耳にアクセサリーを付ける。,みみにあくせさりーをつける。,
良い友達を持てて私は嬉しいです。,よいともだちをもててわたしはうれしいです。,
あなたと写真を撮りたいです。,あなたとしゃしんをとりたいです。,
きちんと鍵を持ってね，分かった？,きちんとかぎをもってね，わかった？,
すべての生徒がその意見に賛成した。,すべてのせいとがそのいけんにさんせいした。,
全体を見ると状況は良くなっている。,ぜんたいをみるとじょうきょうはよくなっている。,
彼は鼻の下にひげを生やしている。,かれははなのしたにひげをはやしている。,
1 日に 10 単語ずつ覚える。,1にちに10たんごずつおぼえる。,
今後のために詳細をメモしておいてください。,こんごのためにしょうさいをめもしておいてください。,
私はいつも 0 時に寝ます。,わたしはいつも0じにねます。,
常に新しいものを生み出すことは大事です。,つねにあたらしいものをうみだすことはだいじです。,
私はあなたにリサトプ語を教えています。,わたしはあなたにりさとぷごをおしえています。,
両腕で箱を運んだ。,りょううでではこをはこんだ。,
賢い彼にとってその問題は簡単すぎた。,かしこいかれにとってそのもんだいはかんたんすぎた。,
私は明るい色が好き。,わたしはあかるいいろがすき。,
もっと彼女に優しくしなよ。,もっとかのじょにやさしくしなよ。,
スケッチするのに良い場所を探す。,すけっちするのによいばしょをさがす。,
彼女は絵を描くのが上手い。,かのじょはえをかくのがうまい。,
簡単なことから始める。,かんたんなことからはじめる。,
リサトプ語を読むには，およそ 400 語が必要です。,りさとぷごをよむには，およそ400ごがひつようです。,
そのバスは 1 時間おきに来ます。,そのばすは1じかんおきにきます。,
話を聞くときには顔を見なさい。,はなしをきくときにはかおをみなさい。,
この時間には電車にたくさんの人が乗ってくる。,このじかんにはでんしゃにたくさんのひとがのってくる。,
お名前をこちらにご記入ください。,おなまえをこちらにごきにゅうください。,
落ち着いた場所でコーヒーを飲みたい。,おちついたばしょでこーひーをのみたい。,
"月額 1,000 円です。","げつがく1,000えんです。",
彼は青い目をしている。,かれはあおいめをしている。,
彼は私を見て微笑んだ。,かれはわたしをみてほほえんだ。,
私は猫を 2 匹飼っています。,わたしはねこを2ひきかっています。,
これ重すぎて運べないよ。,これおもすぎてはこべないよ。,
問題の部分はカットしておきました。,もんだいのぶぶんはかっとしておきました。,
電車の中で 1 日の予定を決める。,でんしゃのなかで1にちのよていをきめる。,
私の携帯電話は黒色です。,わたしのけいたいでんわはくろいろです。,
日本では，料理を残すことは良くないとされている。,にほんでは，りょうりをのこすことはよくないとされている。,
テレビが見えないので椅子を動かす。,てれびがみえないのでいすをうごかす。,
今日暑いからアイス食べたいな！,きょうあついからあいすたべたいな！,
今の状況を教えてください。,いまのじょうきょうをおしえてください。,
お誕生日おめでとう。良い日を過ごしてね。,おたんじょうびおめでとう。よいひをすごしてね。,
どこの会社で働いてるの？,どこのかいしゃではたらいてるの？,
籠の中にたくさんの林檎を入れる。,かごのなかにたくさんのりんごをいれる。,
そういう考え方，好きだな。,そういうかんがえかた，すきだな。,
このお茶，すごく美味しい！,このおちゃ，すごくおいしい！,
どこに住んでるの？,どこにすんでるの？,
時が進むに連れ，町並みも変わっていく。,ときがすすむにつれ，まちなみもかわっていく。,
幸せだと思いさえすれば幸せなんだよ。,しあわせだとおもいさえすればしあわせなんだよ。,
夜に外を歩くときには気をつけてね。,よるにそとをあるくときにはきをつけてね。,
電話持ってる？,でんわもってる？,
水をたくさん飲むことは体に良い。,みずをたくさんのむことはからだによい。,
この駅で 3 つの路線が合流しています。,このえきで3つのろせんがごうりゅうしています。,
君が作る料理は本当に美味しいよ。,きみがつくるりょうりはほんとうにおいしいよ。,
頭を叩くのはやめなさい！,あたまをたたくのはやめなさい！,
君が僕のことを愛してくれることが一番の幸せだよ。,きみがぼくのことをあいしてくれることがいちばんのしあわせだよ。,
彼女は大阪弁で話します。,かのじょはおおさかべんではなします。,
方法に興味はない。出来るかどうかだ。,ほうほうにきょうみはない。できるかどうかだ。,
犬の散歩に行く。,いぬのさんぽにいく。,
彼はあまり感情を顔に表さない。,かれはあまりかんじょうをかおにあらわさない。,
人はお互い助けあうものでしょう？,ひとはおたがいたすけあうものでしょう？,
彼女は上品な言葉を使う。,かのじょはじょうひんなことばをつかう。,
行って。彼女はあなたを必要としている。,いって。かのじょはあなたをひつようとしている。,
理由のない善意のことを人は愛と呼ぶ。,りゆうのないぜんいのことをひとはあいとよぶ。,
大学では何を学んでいるんですか？,だいがくではなにをまなんでいるんですか？,
私は日本人です。,わたしはにほんじんです。,
彼女は赤い派手なペンダントを買った。,かのじょはあかいはでなぺんだんとをかった。,
字すごく綺麗だね！,じすごくきれいだね！,
人は機械より正確なことがある。,ひとはきかいよりせいかくなことがある。,
バランスの良い食事は健康な身体を作る。,ばらんすのよいしょくじはけんこうなからだをつくる。,
今後の動向を予測する。,こんごのどうこうをよそくする。,
この統計書は正しいと思いますが。,このとうけいしょはただしいとおもいますが。,
親は皆，子を可愛いと思うものだ。,おやはみな，こをかわいいとおもうものだ。,
一日一日を楽しんで生きたいね。,いちにちいちにちをたのしんでいきたいね。,
これは私が書いた本です。,これはわたしがかいたほんです。,
身体は 1 つしか無いんだから大事にしなきゃ。,からだはひとつしかないんだからだいじにしなきゃ。,
彼の家は大きくてプールがあるんだよ。,かれのいえはおおきくてぷーるがあるんだよ。,
彼の功績は今や世界中に知れ渡った。,かれのこうせきはいまやせかいじゅうにしれわたった。,
この観光地は昼に見たほうが綺麗だ。,このかんこうちはひるにみたほうがきれいだ。,
彼はいつも自分の高級車を自慢している。,かれはいつもじぶんのこうきゅうしゃをじまんしている。,
年末に部屋の大掃除をする。,ねんまつにへやのおおそうじをする。,
君の名前，どう書くの？,きみのなまえ，どうかくの？,
悪い知らせは早めに伝えておく。,わるいしらせははやめにつたえておく。,
パーティーに友人を呼ぶ。,ぱーてぃーにゆうじんをよぶ。,
なんでいつもそんな早い電車に乗ってるの？,なんでいつもそんなはやいでんしゃにのってるの？,
ここから駅まで歩くにはあまりに遠すぎる。,ここからえきまであるくにはあまりにとおすぎる。,
これ，私のものです！,これ，わたしのものです！,
こういう新しい街並み大好き。,こういうあたらしいまちなみだいすき。,